	Unnamed: 0	Link	Text	Title	Terms	Topics
0	0	http://www.slate.com/articles/news_and_politics/politics/2012/10/halloween_retailers_favor_obama_day_6_obama_s_ray_of_hope.html	"Every day until the election, Slate will offer up one reason to be optimistic for your candidate. Six days to go: Today's Good News for Obama: With the election so close, everyone is desperately attempting to divine who has the edge. In the waning days of the election, an unlikely indicator has emerged: Halloween retailers. Spirit Halloween is the largest seasonal Halloween retailer in the country and its sales have correctly predicted the winning presidential candidate since 1996. According to CNN Money, Obama masks are outselling Romney masks 60 percent to 40 percent--good news for the incumbent. Buycostumes.com also has what it calls ""The Official Presidential Mask Poll 2012,"" with a tally of which candidate is winning in each state. Mask sales have accurately predicted the election winner in the last three races. Again, it offers good news for Obama, whose likeness will be knocking on doors across the country tonight. (Happy Halloween!) See Barack Obama's earlier rays of hope. See Mitt Romney's earlier rays of hope."	Why Today Was a Good Day for Barack Obama	['Romney', 'Obama']	[]
1	1	http://www.slate.com/articles/news_and_politics/politics/2012/10/mitt_romney_is_winning_the_endorsements_of_many_newspapers_that_endorsed.html	"Newspaper endorsements don't matter in presidential campaigns, until the campaigns say they do. On Oct. 27, nanoseconds after the Des Moines Register endorsed Mitt Romney, the Republican campaign hot-lined an ""In Case You Missed It"" email to reporters. As if any of them had missed it. The political press was already in full sweaty-palm tweet-mode about the Iowa paper's first GOP endorsement since Nixon '72. Stephanie Cutter, the Obama campaign's master of the can-you-believe-this-crap snicker, had to sit and listen to George Stephanopoulos read the endorsement to her before she could say it wasn't ""based in reality.""* She was wrong. It was based in a brighter, more optimistic version of reality. ""Romney had to tack to the right during the primary season,"" argued the paper's editors. ""Since then, he has recalibrated his campaign to focus on his concern for the middle class, and that is believable if the real Mitt Romney is the one on display as governor of Massachusetts who passed a health care reform plan that became the model for the one passed by Congress."" The Romney campaign's email excerpted most of the editorial. It skipped the ""ifs."" At least 21 newspapers that endorsed Barack Obama in 2008 have endorsed Mitt Romney in 2012. Half of these endorsements are couched in the hope that Romney hornswoggled Republican primary voters and will govern as a moderate. ""Like his primary rivals,"" editorialized Florida Today, ""we never bought Romney's newfound conservative purity. During the presidential debates, Romney wisely resumed his identity as a pro-growth pragmatist."" And ""pro-growth,"" in the Space Coast region covered by Florida Today, means helping out NASA. Romney has pledged to do that without pledging to increase the budget. The ""flip-flop"" charge has cursed Romney for most of his national political life. It was the easiest hit on the candidate who, in 2007, was trying to introduce himself to skeptical Iowans and D.C. opinion leaders. A man in a Flipper costume shadowed Romney at the 2007 Conservative Political Action Conference, and if I rummage around I'm sure I still have the green ""Romney flip-flops"" handed out by his enemies. This was the start of the YouTube era. Finding video of Romney taking contradictory positions was downright easy. That continued until the evening of Oct. 3, right before Romney took the debate stage in Denver and promised ""not to reduce the share of taxes paid by high-income people"" and not to repeal popular parts of Obamacare. The next day, when Romney stopped by the micro-Conservative Political Action Conference in Denver, he got an ovation that didn't end until his speech was over. The right got it--Romney could flip-flop all he wanted as long as it meant he was beating Barack Obama. The newspaper endorsements are just the icing. ""Romney has famously flip-flopped on abortion rights, the need for Planned Parenthood, access to contraceptives and health care reform in general, which disproportionately affects single mothers and lower-income women,"" editorialized the Nashville Tennessean. ""During his bruising primary campaign he veered to the right; in the debates, he has swung back to his moderate stances as governor of Massachusetts. The Romney who was governor reflected the attitudes shared by a majority of Americans; this is where he should stay, if elected, and resist pressure from the 'tea-vangelicals' in his party who want to take this country back to the repressed 1950s."" Would he resist? The editorial writers don't know. But they know that he should. And to be overly fair, this was the thrown-together logic that got a record number of newspapers behind Obama in 2008. But the biggest reversals come from papers that now put more faith in Romney than they ever put in Obama. ""The worst thing that many critics say about Romney is that he is too flexible,"" argued the Long Beach Press-Telegram, ""that he bends his policies to the situations in front of him. As president, Romney would not be restrained by foolish consistency. He would be expected to do the right thing no matter where the solutions originate."" The flip-flops are part of the reason why Romney can now be trusted.* It's an odd view of the president and the presidency. The switchers pay almost no attention to Romney's advisers. One example: His running mate is Paul Ryan, who led the budget committee in the House for the last two years. Ryan is rarely mentioned in these editorials, which means his voting record on spending or social issues never gets mentioned. ""We've been turned off by his appeals to social conservatives and immigration extremists,"" wrote the Orlando Sentinel's editorial board, before asserting that these appeals were phony. Romney had shifted his focus, which ""at least shows he understands that reviving the economy and repairing the government's balance sheet are imperative,"" and so he got the endorsement. Most of these papers have this in common: They stop the clock on Romney's ""real"" beliefs in 2006, and they restart it on Oct. 3. ""He stated his unequivocal support for women's contraception rights,"" wrote the Quad-City Times, ""knowing it would incense a huge number of Christian and Catholic voters."" This was a reference to a terrifically slippery Romney answer in the Hofstra debate: ""I don't believe that bureaucrats in Washington should tell someone whether they can use contraceptives or not."" Before that debate, Romney had dramatically opposed the HHS rule that mandates contraceptive coverage in employer-run health care, telling audiences that it amounted to ""an attack on religious freedom."" Florida Today told readers that Romney ""showed support for women and gay people"" in the debates. This is true. He's also pledged, to the National Organization for Marriage, to keep judges away from the bench if they don't oppose gay nuptials. These newspapers are convinced: The Real Mitt Romney is a moderate who got one over on conservative primary voters. But Romney himself can't ever say this. In March, Romney's key strategist Eric Fehrnstrom told CNN that the old, conservative stances of the primary would be easy to shake off, just like a drawing can be shaken off an Etch-a-Sketch. And what did Fehrnstrom do for a living before he started working for Romney? He was a newspaper reporter. Correction, Oct. 31, 2012: This article originally misspelled the last name of George Stephanopoulos. (Return to the corrected sentence.) Correction, Oct. 30, 2012: This article originally misidentified the Long Beach Press-Telegram as the Los Angeles Press-Telegram. (Return to the corrected sentence.)"	How Mitt Romney Turned Flip-flopping Into a Virtue	['Paul', 'Obama', 'Romney', 'Long', 'Nixon']	['abortion', 'gay']
2	2	http://www.slate.com/articles/news_and_politics/politics/2012/10/romney_leads_with_likely_voters_day_7_romney_s_ray_of_hope.html	Every day until the election, Slate will offer up one reason to be optimistic for your candidate. Seven days to go: Today's Good News for Romney: With a week until Election Day, it's time get your base excited and ready to go. Romney has a slight edge on that front, according to a Pew poll released yesterday. Among registered voters, Obama leads 47 percent to 45 percent. But among likely voters, the race is a dead heat: 46-46. That's because 76 percent of Republicans reported that they were likely to vote, and only 62 percent of Democrats did. The Pew poll report suggests Republicans are more enthusiastic about Romney since the debates, and they find the race more interesting and informative than they did in June. If Romney can get all of these Republicans to the polls, he might be able to maintain that edge in the final count. See Mitt Romney's earlier rays of hope. See Barack Obama's earlier rays of hope.	Why Today Was a Good Day for Mitt Romney	['Romney', 'Obama']	[]
3	3	http://www.slate.com/articles/news_and_politics/politics/2012/10/the_campaign_decoder_sorting_the_presidential_campaign_s_gaffes_antics_and_false_controversies_from_the_stuff_that_actually_matters_.html		How Hurricane Sandy Gives Obama a Chance To Show How Much He Cares		
4	4	http://www.slate.com/articles/news_and_politics/politics/2012/10/hurricane_sandy_helps_obama_keep_his_edge_in_virginia_day_8_obama_s_ray.html	Every day until the election, Slate will offer up one reason to be optimistic for your candidate. Eight days to go: Today's Good News for Obama: As Hurricane Sandy hurtles toward the East Coast, Mitt Romney has canceled all campaigning in Virginia for the foreseeable future, axing his intended tour through the critical swing state. The timing couldn't be worse for Romney: A new poll shows Obama leading the Republican challenger 51 percent to 47 percent among likely voters, recovering a lead that had disappeared throughout most of October. Other polls show the candidates at a dead heat, but the momentum in Old Dominion appears to be in Obama's favor during the closing days of the election. Romney is missing a valuable chance to make closing arguments in Virginia, giving Obama the opportunity to nab the state's highly coveted 13 electoral votes on Nov. 6. See Barack Obama's earlier rays of hope. See Mitt Romney's earlier rays of hope.	Why Today Was a Good Day for Barack Obama	['Romney', 'Obama']	[]
5	5	http://www.slate.com/articles/news_and_politics/politics/2012/10/hurricane_sandy_barack_obama_and_mitt_romney_are_trying_to_navigate_the.html	"Hurricane Sandy has interrupted the campaign, which makes her the most important woman in the swing states. Politics has taken a pause, but we all know it's a temporary one. It's unseemly to talk about politics with so many people about to face genuine danger. Then again, this campaign already has broken a lot of old rules. Candidates used to be loosely constrained by the facts. Not so much any more. Candidates used to be prohibited from making political attacks during a fresh national security crisis. So it seems inevitable that Sandy will become a political force. It's also fitting for a campaign that has so often felt like a skirmish on the side stage that here we are facing deadly realities. In a sense, though, this storm touches on what this campaign has always been about: What should the federal government do, and does it have the resources to do it? We are eight days away from an election. This is the 2012 campaign's October surprise. (Though given the way this campaign has unfolded, there might be a November surprise.) Natural disasters can hit presidents in two ways. In 2004, President Bush visited victims of Hurricane Francis in early September as his party was holding its convention. He played the first responder role then. A year later, Hurricane Katrina sidetracked his presidency. If presidents get more blame for a weak economy than perhaps they deserve, there are also moments when there are political benefits to the office. In times like this, Americans--Democrat and Republican alike--turn to government. President Obama pulled himself off the campaign trail on Monday and returned from Florida before he attended a single event. He's not campaigning for at least two days. For the moment, in the major story of the day, he has a key role. As I type this, word has arrived from the White House that the president is in the Situation Room talking with his advisers, and as I review it, he has just finished speaking to reporters in the briefing room. ""I'm not worried at this point about the impact on the election,"" said the president. ""I'm worried about the impact on families."" Still, there will be some poetical cost or gain based on how his administration manages the disaster that all the forecasters say is coming. (Political scientists have even measured this.) What does Mitt Romney do? Before the storm hit, he was trying to build the sense of a campaign that is rising as it approaches the finish line. His supporters are fired up like never before, but he's not gaining on the president as he did after the first debate. Nate Silver says they have returned to the condition they were in during the spring and summer, which puts Obama in the better position. Romney needs to create a bandwagon effect to lure undecided voters. He has canceled his campaign events Monday and Tuesday. In the interim, it's hard to stay in the story without looking like he's seeking political gain. His campaign informed reporters that he was on the phone with the governors of Virginia and New Jersey monitoring the situation. It's not quite clear what ""monitoring"" means in this context since he has no formal role to pay. (As I type this from Washington, a gust caused the windows to make such a noise that I thought it was the door opening.) Romney has also suspended his campaign fundraising emails into the affected states, as has the president. All of this stopped activity doesn't mean that the campaigns aren't trying to skewer each other under the table. In Ohio, they are engaged in a heated fight over the auto bailout, an important issue in the state where the economy is closely tied to the car industry. On Sunday, the Romney campaign released an ad suggesting Chrysler, a company saved in the bailout and sold to Fiat, would be making cars in China. It was an extension of a false claim made by Romney that the firm would be making all cars in China. The Obama campaign responded with its own ad. Romney has been talking a lot about bipartisanship lately on the stump. It appeals to those undecided, married, suburban voters he and the president need in the battleground states. The president has been trying to sound this theme, too. If they were both serious about appealing to those voters, you could imagine one candidate offering to have his volunteers join with the other campaign in a relief effort in the hardest-hit areas of the states. The campaign that didn't think of this first would probably decline, giving the one that suggested the joint army of altruism the opportunity to look above it all while causing no practical problem for the campaign. The only problem for a candidate who made this offer would be if the other campaign agreed to it. It would deprive whichever campaign was losing of important manpower to get out the vote. OK, back from fantasyland. The presidency has a performance aspect to it, especially during times of crisis, so evaluating the candidates now in a political context is part of evaluating them for the job they will hold. But there's also a practical effect of the storm. It may hamper early voting, and it may limit the organization-building benefits of candidate visits. The rains and winds could keep people from their polling places in North Carolina, and if the winter storm kicks up in Ohio, that could affect in-person voting there, too. It could also affect the door-to-door canvassing that's supposed to take place in those states. Virginia is the only state affected by the storm that has absentee voting, which requires an excuse and doesn't really take place in person, so the state won't be affected as much as the others. Two days of no campaign events means two days when the candidate can't be used to attract voters. When candidates come to town, it initiates a range of organizing efforts--including busing voters to the polls after rallies--that won't take place if the candidate isn't in town. Bill Clinton has stepped in for Obama during the crisis period, which might be a blessing. Clinton's convention speech was better received than Obama's acceptance speech because he is a more articulate spokesman. On the eve of the storm, Clinton told voters in Connecticut: ""We're coming down to the 11th hour. We're facing a violent storm. It's nothing compared to the storm we'll face if you don't make the right decision in this election."" Any disruption in the early vote or ability to harness candidate visits would probably hurt Democrats. Their voters are harder to turn out, so each day lost is a lost chance to get someone to the polls. On the other hand, if I'm home all day in Ohio, I might have the time to mail in that ballot I've had sitting on the dresser. Now we wait. It is temping to think that politics will be the last thing on people's minds in the wake of Hurricane Sandy, but that's as unrealistic as thinking if I step outside right now I won't get wet."	Why Hurricane Sandy Is the Most Important Woman in the Swing States	['Romney', 'Clinton', 'Obama']	[]
6	6	http://www.slate.com/articles/news_and_politics/politics/2012/10/florida_voter_suppression_republican_efforts_to_discourage_turnout_in_florida.html	"MIAMI--Tomorrow, as the sun rises, Bishop Victor Curry of New Birth Baptist Church will wake up and race to the Stephen P. Clark Government Center in downtown. At 7 a.m., he will help lead south Florida's first early-vote rally. As soon as he can, he will hotfoot it to the South Dade Regional Library, 30-odd minutes away, for the day's second early-vote rally. He will find some way to flee in time to make the start of the EBA Higher Education Awareness and Dropout Prevention Initiative in Miami Gardens, the heart of black south Florida, and take the stage next to Rev. Al Sharpton. Then back on the road, north to Broward County. The plan, coordinated by at least 150 black pastors, is called ""Operation Lemonade."" On Wednesday, I visited New Birth, parking near the van that promotes his radio talk show, and finding Curry's office in the sprawling, 10-year-old gated complex. Outside the chapel, there's a signed message from President Obama congratulating Curry on the church's anniversary. Inside Curry's office, there are multiple pictures commemorating his meetings with Sharpton and with Bill Clinton, next to his lifetime membership plaque from the NAACP, and a picture from election night 2008. That year, churches got two whole weeks to turn out the early vote. This year they get one. ""When the Republicans in the state passed the new voting laws, we discovered that they took away that Sunday right before the election,"" says Curry. ""What we decided to do was view that as them giving us a lemon. We can be sour, we can moan and groan about it, or we can do something. We can make lemonade. The first thrust is this weekend, Saturday and Sunday, and then we're going to encourage people the entire next week."" Democrats are proud to say it: If they win this election, it'll be because a superior ground game turned out their base and overcame a Mitt Romney comeback. In Florida, they have twice as many campaign offices as Romney-Ryan. ""With absentee ballot requests, usually the Republicans have a pretty significant advantage on us,"" says Rep. Debbie Wasserman Schultz, the DNC chairwoman who represents a liberal slice of the Miami sprawl. ""We've cut the advantage by 85 percent."" This is true. And they had to battle to get there. From the moment Republicans took office in 2011, controlling gubernatorial and election offices in swing states, they started tightening voting laws. In Pennsylvania, the state passed its first-ever requirement for voter ID at the polls. In Ohio, the state attempted to eliminate early-voting days for anyone not serving in the military. In Florida, it took only two months to pass a comprehensive bill that scaled back early-voting days, prevented voters from changing their addresses when they got to the polls, and started a 48-hour countdown that required voter-registration campaigns to turn in their forms within two days or pay fines--a de jure response to ACORN paranoia. That bill was filed on March 7 and become law two months later. The Florida law became infamous. After the League of Women Voters gave up on registering voters, The Daily Show sent a reporter down to make fun of the 48-hour rule. According to a summer report by the Third Way think tank, Democrats lost 246,934 Florida voters after November 2008, and Republicans had lost only 71,829. But after November 2011, when the 48-hour law went into effect, Democrats lost 8,044 registrants; Republicans gained 18,303. And then the Democrats got the rules reversed. In June, a Florida court struck down the 48-hour rule. In September, the state gave up on an error-filled purge of voter registrations. October was a sloppy rout for voter restrictions, as the Pennsylvania and Ohio laws were halted. ""We won in court just when we were ramping up registration,"" says Wasserman Schultz. ""In Florida, we have 520,000 more registered Democrats than Republicans. If you look at the registration of Hispanic voters, since November of 2008, 195,000 Hispanic voters have registered as Democrats or independents."" And they still have the early-voting days--less of them, but they have them. In the meantime, they have made the ""voter suppression"" efforts infamous among their base voters. In the area around Curry's church, I find black voters who were completely aware of the laws and could recite the ways the state had tried to block their votes. ""My son had an incident eight years ago,"" says Valerie Gardner, a real estate agent in the area, ""and because of that he can't vote. We went to vote and the state had never told him that he couldn't."" So in response, she helped out Operation Lemonade as much as she could that morning before heading to a wedding. ""I think that this whole thing is gonna backfire on 'em,"" says Curry. ""If they had left it alone, African-Americans may have been less excited about this election than they were about 2008."" Take the fear of disenfranchisement away and they might have been skittish about voting for a president who endorses gay marriage. In other states, like Maryland and Washington, there are campaigns directed at black voters that straddle the line between patronizing and true. But in Florida, where the Obama campaign is running an ad to remind people of the 2000 election, it doesn't play. ""Just because he says he's for gay marriage doesn't mean he's going to implement it,"" says Rev. Gary McCleod of the nearby Mount Sinai church. ""That doesn't concern people."" I leave Miami and drive to West Palm Beach. The South Florida Tea Party keeps its office on Clematis Street, and the guest tonight is from the Texas-based poll-watching conservative coalition True the Vote. Adryana Boyne became an American citizen by marriage in 1992, and cast her first presidential vote for George H.W. Bush. This year, at the Republican National Convention, Craig Romney invited her to sit near the family for Mitt's nomination speech. South Florida Tea Party chairman Everett Wilkinson apologizes to her, because he'd wanted to do more Tea Party outreach to Hispanic voters for months, ""and we're getting a late start."" Boyne nods sadly, then rallies to record a 10-minute video explaining to Hispanic voters that the Democrats are lying to them when they talk about restrictions. ""We have people, the snowbirds, who live in two states, and they're voting twice,"" she says. ""We know what happened a few years ago with ACORN. Remember? That's still going strong. People say: Just go register anyone. Do you have a driver's license? You can register to vote. That's not true. You have to be a citizen of the United States."" After the video is done, I join Wilkinson, Boyne, and Boyne's friend Juan Fiol for a very late dinner. Fiol, who's been working for Wasserman Schultz's opponent Karen Harrington, is even more frustrated than Boyne. Democrats, he says, are pandering to Hispanics, scaring them away from Republicans, claiming that there's no such thing as fraud. ""Early voting enables fraud,"" he says. ""There's a certain number of fraudsters. Let's say there's 100. They go out the first day, they commit 100 frauds. OK? But let's say it's seven days. It becomes 700 frauds. It becomes 14 days, and it's 1,400 frauds. In Ohio, it's open for a month! C'mon, man!"" Four years ago, Republicans were saying the same thing. John McCain used precious time in his final debate with Barack Obama to attack ACORN--its dodgy registration reforms were a ""threat to democracy."" McCain didn't win, but the effect was to make Republicans as angry and paranoid about the threat to their votes as Democrats ever were. One poll, taken a year after Obama won, found that 52 percent of Republicans credited it to ACORN fraud. The new voter ID/voter-registration laws were supposed to fix that. In the process, they helped Democrats convince their wavering base that their ballots were in danger. They've absorbed the lesson even as the laws loosened up. ""The law in Florida was a kneejerk reaction,"" says Wilkinson. ""It ended up deterring voter registration. We, as an organization, weren't able to overcome that."" But the Democrats may have overcome it, and that success just might rescue them."	Why the GOP's Voter Suppression Schemes May Be Good for Democrats	['Schultz', 'Obama', 'Romney', 'Clark', 'McCain']	['gay']
7	7	http://www.slate.com/articles/news_and_politics/politics/2012/10/romney_s_advantage_among_white_voters_day_11_romney_s_ray_of_hope.html	Every day until the election, Slate will offer up one reason to be optimistic for your candidate. 11 days to go: Today's Good News For Romney: Obama needs at least 38 percent of the white vote to win re-election. Right now, he doesn't have it. That's a huge problem for the president, who must now rely on massive minority turnout to win 270 electoral votes. Democratic presidential candidates in the modern era have never been popular among white voters--Obama only earned 41 percent of their votes in 2008--but this year marks a startling low unmatched since Walter Mondale's landslide defeat. The disparity is particularly acute among white men, only 32 percent of whom support Obama. Meanwhile, Mitt Romney has locked down the support of at least 60 percent of white voters and 65 percent of white men, meaning Obama has only 2 to 3 percent of undecided white voters left to woo. See Mitt Romney's earlier rays of hope. See Barack Obama's earlier rays of hope.	Why Today Was a Good Day for Mitt Romney	['Romney', 'Obama']	[]
8	8	http://www.slate.com/articles/news_and_politics/politics/2012/10/mittmentum_mitt_romney_s_presidential_campaign_is_drawing_huge_enthusiastic.html	"DEFIANCE, Ohio--There's a moment that arrives now and again in presidential campaign speeches when the candidate says, ""If I'm president,"" and then corrects himself: ""when I'm president."" This is a crowd favorite and usually gets a healthy round of cheers. Then the candidate moves on. When Mitt Romney said this on Thursday morning in Cincinnati, the crowd reacted as if it was election night and he'd just been declared president--and they'd been given a new car. For 30 seconds, they screamed and cheered. As we enter the final sprint, campaigns and their supporters will sustain themselves on sweeping crowd shots of supporters cheering on their man. At the Romney rally on a football field in Defiance, Ohio, the campaign had a camera hooked to a drone to get sweeping crowd shots. So far this campaign we've had fights over facts, and then it was a fight over the polls. Now we're having a fight over momentum. Who has the larger crowd? Who has more enthusiasm? Trying to read a crowd is mostly a mug's game. I remember attending a John McCain event in Appleton, Wis., in 2008 that made the ground shake in the gymnasium. McCain lost Wisconsin by 14 points. Still, for Mitt Romney, who was once considered merely a tepid vessel of anti-Obama feeling and who had trouble in the primaries stirring the party faithful, he's peaking at the right time. The lines snake through neighborhoods and people leave hoarse and buoyant. It used to be that his crowds were most excited when he said mean things about Barack Obama. Now that's not what is getting most of the cheers. They cheer for Romney, the guy up there on stage. What makes crowd size and enthusiasm so alluring is that everyone is flying blind about Ohio, looking for a sign somewhere that the state is going their way. Both campaigns believe the polls are essentially tied. Recently the debate in Ohio has focused on which party is doing better in early voting. Democrats say they are exceeding their 2008 levels. Republicans say Democrats are just capturing the voters that were already going to vote for Obama and not using the early voting period to win over low propensity voters. (I wrote about this Thursday.) Campaign aides say they are ""exceeding their metrics,"" which means they've knocked on more doors, put up more signs, or made more phone calls than they expected to make. But you can exceed your metrics and lose because the other guy is exceeding his metrics, too. Romney is using Obama's 2008 campaign against him. He's trying to steal the change mantle from the president. The word change cropped up a dozen times in two speeches, and Romney regularly shakes his head at how low the author of Hope and Change has fallen. ""His campaign gets smaller and smaller,"" he says, ""Our campaign is about big things. We happen to believe that America faces big challenges ... Americans want to see big changes and that's what I'm going to bring."" The day ended for Romney on that football field at Defiance High School. The scoreboard read 4th down, 12 to go, referring to the number of days left in the campaign. After the national anthem was sung, fireworks launched behind the end zone. And then Meatloaf took the stage. ""Never before have I endorsed a single candidate until now,"" said the 65-year-old singer of ""Bat Out of Hell"" and ""Two Out of Three Ain't Bad,"" who said that after the last debate he couldn't stay on the sidelines given the ""storm clouds rising over the world."" Before he left the stage, he said he had called three Democrats and convinced two of them to vote for Romney. ""So two out of three ain't bad,"" he said."	Why Mittmentum Is Real	['Obama', 'Romney', 'McCain']	[]
9	9	http://www.slate.com/articles/news_and_politics/politics/2012/10/debates_improved_romney_s_image_day_12_romney_s_ray_of_hope.html	Every day until the election, Slate will offer up one reason to be optimistic for your candidate. 12 days to go: Today's Good News for Romney: Now that the debates are behind us, some of the more lasting effects are clear. The debates changed voters' minds about Mitt Romney, but not about President Obama. After the debates, 37 percent say they have a better opinion of Romney, while only 16 percent say they have a better opinion of Obama. Meanwhile, 63 percent say their opinion of Obama has not changed, but only 44 percent say their opinion of Romney remained the same. Obama may have won two out of three debates, but Romney walked away with something more valuable--a new image. See Mitt Romney's earlier rays of hope. See Barack Obama's earlier rays of hope.	Why Today Was a Good Day for Mitt Romney	['Romney', 'Obama']	[]
